Altium Designer Pick and Place Locations
C:\Users\Kaelem\AppData\Local\TempReleases\Snapshot\1\Sources\Pick Place\Pick Place for Gimbal_Board_3_PCB.csv

========================================================================================================================
File Design Information:

Date:       13/11/24
Time:       01:21
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R9","10k","TopLayer","0805","98.9330mm","82.4230mm","90","RES Thick Film, 10kO, 0.125W, 150V, 0805"
"R8","10k","TopLayer","0805","106.4260mm","85.3440mm","270","RES Thick Film, 10kO, 0.125W, 150V, 0805"
"R7","10k","TopLayer","0805","75.6920mm","76.4540mm","180","RES Thick Film, 10kO, 0.125W, 150V, 0805"
"R6","10k","TopLayer","0805","72.7710mm","80.7720mm","270","RES Thick Film, 10kO, 0.125W, 150V, 0805"
"R5","10k","TopLayer","0805","93.8530mm","63.2460mm","270","RES Thick Film, 10kO, 0.125W, 150V, 0805"
"R4","10k","TopLayer","0805","94.3610mm","59.4360mm","270","RES Thick Film, 10kO, 0.125W, 150V, 0805"
"R3","10k","TopLayer","0805","70.1040mm","84.7090mm","0","RES Thick Film, 10kO, 0.125W, 150V, 0805"
"R2","10k","TopLayer","0805","64.1350mm","88.9000mm","90","RES Thick Film, 10kO, 0.125W, 150V, 0805"
"R1","1k","TopLayer","0805","71.2470mm","67.6910mm","180","RES Thick Film, 1kO, 0.125W, 150V, 0805"
"Q4","5V to 3.3V","TopLayer","FP-318-08-IPC_B","103.2510mm","84.9630mm","180","MOSFET N-CH 50V 220MA SOT-23"
"Q3","5V to 3.3V","TopLayer","FP-318-08-IPC_B","76.2000mm","80.6450mm","270","MOSFET N-CH 50V 220MA SOT-23"
"Q2","5V to 3.3V","TopLayer","FP-318-08-IPC_B","90.8050mm","59.5630mm","180","MOSFET N-CH 50V 220MA SOT-23"
"Q1","5V to 3.3V","TopLayer","FP-318-08-IPC_B","67.4370mm","88.9000mm","0","MOSFET N-CH 50V 220MA SOT-23"
"3.3V","S2761-46R","TopLayer","S2761-46R","122.3010mm","80.5180mm","90","PC TEST POINT NATURAL"
"5V","S2761-46R","TopLayer","S2761-46R","87.3760mm","59.5630mm","90","PC TEST POINT NATURAL"
"3.3V","S2761-46R","TopLayer","S2761-46R","99.6950mm","52.8320mm","90","PC TEST POINT NATURAL"
"Rasp-Pi","PI HAT","TopLayer","Molex_Microfit_3.0_2x3_Right_Angle","77.2540mm","91.2316mm","180",""
"Plane IMU","PLANE IMU VERT BREAK","TopLayer","BNO055_Breakout","110.7440mm","74.9300mm","90","Adafruit BNO055 Breakout Board Mount FRONT SIDE UP"
"5V","S2761-46R","TopLayer","S2761-46R","68.3260mm","92.0750mm","180","PC TEST POINT NATURAL"
"Pitch Motor","PITCH_MOTOR_BREAKAWAY","TopLayer","1x3_Breakaway_Right_Angle","126.3650mm","83.1850mm","90",""
"Roll Motor","ROLL_MOTOR_BREAKAWAY","TopLayer","1x3_Breakaway_Right_Angle","126.3650mm","64.7700mm","90",""
"Gimbal IMU","GIMBAL IMU 90 BREAK (1)","TopLayer","Molex_Microfit_3.0_1x6_Right_Angle","95.2500mm","92.6780mm","180","3.00mm Pitch Micro-Fit 3.0 Header, Surface Mount Compatible, Single Row, Right Angle, with Snap-in Plastic Peg PCB Lock, 6 Circuits, Tin (Sn) Plating, Glow Wire Compatible"
"Power Input","Power Board","TopLayer","Molex_Microfit_3.0_1x6_Right_Angle","62.0080mm","72.5170mm","270","3.00mm Pitch Micro-Fit 3.0 Header, Surface Mount Compatible, Single Row, Right Angle, with Snap-in Plastic Peg PCB Lock, 6 Circuits, Tin (Sn) Plating, Glow Wire Compatible"
"Pitch Encoder","PITCH_ENCODER_BREAKWAY","TopLayer","1x3_Breakaway_Right_Angle","68.3260mm","59.6900mm","0",""
"Roll Encoder","ROLL_ENCODER_BREAKWAY","TopLayer","1x3_Breakaway_Right_Angle","79.6290mm","59.6900mm","0",""
"ICSP1","ICSP","TopLayer","2x3_Breakaway_Vertical","99.8220mm","58.1660mm","270",""
"D2","IC_LED","TopLayer","FP-APTD3216CGCK-MFG","84.9630mm","63.5000mm","0","LED GREEN CLEAR 2SMD"
"D1","POWER_LED","TopLayer","FP-APTD3216CGCK-MFG","75.8190mm","72.2630mm","90","LED GREEN CLEAR 2SMD"
"C20","100nF","TopLayer","0805","125.3490mm","96.6470mm","270","CAP Ceramic, 100nF, 50V, 0805"
"C19","330nF","TopLayer","0805","105.6370mm","52.3110mm","90","CAP Ceramic, 330nF, 50V, 0805"
"C6","22pF","TopLayer","0805","75.8190mm","66.9290mm","90","CAP Ceramic, 22pF, 50V, 0805"
"C5","22pF","TopLayer","0805","79.3750mm","66.1670mm","0","CAP Ceramic, 22pF, 50V, 0805"
"C4","0.1uF","TopLayer","CAPC2013X135X45ML10T25","111.1250mm","85.9790mm","0","Chip Capacitor, 0.1 uF, +/- 10%, 50 V, -55 to 125 degC, 0805 (2012 Metric), RoHS, Tape and Reel"
"C3","0.1uF","TopLayer","CAPC2013X135X45ML10T25","111.1250mm","83.4390mm","0","Chip Capacitor, 0.1 uF, +/- 10%, 50 V, -55 to 125 degC, 0805 (2012 Metric), RoHS, Tape and Reel"
"C2","0.1uF","TopLayer","CAPC2013X135X45ML10T25","97.9170mm","71.6280mm","180","Chip Capacitor, 0.1 uF, +/- 10%, 50 V, -55 to 125 degC, 0805 (2012 Metric), RoHS, Tape and Reel"
"C1","0.1uF","TopLayer","CAPC2013X135X45NL10T25","97.7900mm","73.9140mm","180","Chip Capacitor, 0.1 uF, +/- 10%, 50 V, -55 to 125 degC, 0805 (2012 Metric), RoHS, Tape and Reel"
